"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","779","all menu elements are visible and have expected text","chromium","2026-03-04","passed","2026-03-04","Verification that the links section contains all required elements","02-menu-links.spec.ts","",""
"","872","registration with valid data displays Welcome message","chromium","2026-03-04","passed","2026-03-04","Verify that user can register with valid data","05-registration-success.spec.ts","",""
"","1029","Services is clickable and navigates to the correct page","chromium","2026-03-04","passed","2026-03-04","Verification that the links section contains all required elements","02-menu-links.spec.ts","",""
"","614","Admin Page is clickable and navigates to the correct page","chromium","2026-03-04","passed","2026-03-04","Verification that the links section contains all required elements","02-menu-links.spec.ts","",""
"","847","error message is displayed when Password and Confirm do not match","chromium","2026-03-04","passed","2026-03-04","Verify that user cannot register when Password and Confirm fields do not match","06-registration-password-mismatch.spec.ts","",""
"","652","page loads successfully","chromium","2026-03-04","passed","2026-03-04","Verification of visibility of all key elements on the home page","01-homepage-elements.spec.ts","",""
"","4000","user can open a new Savings account","chromium","2026-03-04","passed","2026-03-04","Verify that registered user can open a new account","08-open-new-account.spec.ts","",""
"","2150","Products is clickable and navigates to the correct page","chromium","2026-03-04","passed","2026-03-04","Verification that the links section contains all required elements","02-menu-links.spec.ts","",""
"","1852","Locations is clickable and navigates to the correct page","chromium","2026-03-04","passed","2026-03-04","Verification that the links section contains all required elements","02-menu-links.spec.ts","",""
"","816","error messages are displayed for each required field when fields are empty","chromium","2026-03-04","passed","2026-03-04","Verify that all registration form fields are required except phone number","04-registration-required-fields.spec.ts","",""
"","921","verify that main page elements are visible","chromium","2026-03-04","passed","2026-03-04","Verification of visibility of all key elements on the home page","01-homepage-elements.spec.ts","",""
"","686","section contains 11 input fields and 1 Register button","chromium","2026-03-04","passed","2026-03-04","Verify that all registration form fields are required except phone number","04-registration-required-fields.spec.ts","",""
"","768","Register link navigates to the correct page","chromium","2026-03-04","passed","2026-03-04","Verify that login section contains all required elements and each link navigates to the correct page","03-login-section.spec.ts","",""
"","803","About Us is clickable and navigates to the correct page","chromium","2026-03-04","passed","2026-03-04","Verification that the links section contains all required elements","02-menu-links.spec.ts","",""
"","566","registration page opens","chromium","2026-03-04","passed","2026-03-04","Verify that all registration form fields are required except phone number","04-registration-required-fields.spec.ts","",""
"","1662","logged-in user sees Welcome message with first and last name","chromium","2026-03-04","passed","2026-03-04","Verify that registered user can log in","07-login.spec.ts","",""
"","559","Forgot login info? link navigates to the correct page","chromium","2026-03-04","passed","2026-03-04","Verify that login section contains all required elements and each link navigates to the correct page","03-login-section.spec.ts","",""
"","469","login section contains all required elements","chromium","2026-03-04","passed","2026-03-04","Verify that login section contains all required elements and each link navigates to the correct page","03-login-section.spec.ts","",""
